name,sn,scale,date,rev,printed,Recon,series,Shaded_Relief,Best_topo,best_sr,best_mil,best_bath,Color,file,raster,Cell_name,dups,Notes
Afognak,360524,250000,1952,1980,1981,0,Topographic,0,0,0,0,0,,AK_Afognak_360524_1952_250000_geo.tif,AK_Afognak_360524_1952_250000_geo,Afognak,,
Afognak,360525,250000,1952,1982,1982,0,Topographic,0,0,0,0,0,,AK_Afognak_360525_1952_250000_geo.tif,AK_Afognak_360525_1952_250000_geo,Afognak,,
Afognak,360516,250000,1952,1982,1988,0,Topographic,0,1,0,0,0,,AK_Afognak_360516_1952_250000_geo.tif,AK_Afognak_360516_1952_250000_geo,Afognak,,
Ambler River,463463,250000,1951,,1952,1,Topographic,0,0,0,0,0,,AK_Ambler River_463463_1951_250000_geo.tif,AK_Ambler River_463463_1951_250000_geo,Ambler River,,
Ambler River,360528,250000,1956,,1959,0,Topographic,1,0,0,0,0,,AK_Ambler River_360528_1956_250000_geo.tif,AK_Ambler River_360528_1956_250000_geo,Ambler River,,
Ambler River,360529,250000,1956,,1959,0,Topographic,0,0,0,0,0,,AK_Ambler River_360529_1956_250000_geo.tif,AK_Ambler River_360529_1956_250000_geo,Ambler River,,
Ambler River,463462,250000,1964,,1964,0,Q501-2 - Army COE,0,0,0,1,0,,AK_Ambler River_463462_1964_250000_geo.tif,AK_Ambler River_463462_1964_250000_geo,Ambler River,,
Ambler River,360530,250000,1956,1969,1970,0,Topographic,0,0,0,0,0,,AK_Ambler River_360530_1956_250000_geo.tif,AK_Ambler River_360530_1956_250000_geo,Ambler River,,
Ambler River,360531,250000,1956,1975,1977,0,Topographic,0,0,0,0,0,,AK_Ambler River_360531_1956_250000_geo.tif,AK_Ambler River_360531_1956_250000_geo,Ambler River,,
Ambler River,360532,250000,1956,1975,1977,0,Topographic,1,0,1,0,0,,AK_Ambler River_360532_1956_250000_geo.tif,AK_Ambler River_360532_1956_250000_geo,Ambler River,,
Ambler River,360533,250000,1956,1982,1982,0,Topographic,0,1,0,0,0,,AK_Ambler River_360533_1956_250000_geo.tif,AK_Ambler River_360533_1956_250000_geo,Ambler River,,
Amukta,360534,250000,1951,,1952,1,Topographic,0,0,0,0,0,sepia,AK_Amukta_360534_1951_250000_geo.tif,AK_Amukta_360534_1951_250000_geo,Amukta,,
Amukta,707707,250000,1958,,1958,0,Q501-1 - Army COE,0,0,0,1,0,dark blue,AK_Amukta_707707_1951_250000_geo.tif,AK_Amukta_707707_1951_250000_geo,Amukta,,1) Date in filename is wrong
Amukta,360535,250000,1951,1969,1970,1,Topographic,0,0,0,0,0,,AK_Amukta_360535_1951_250000_geo.tif,AK_Amukta_360535_1951_250000_geo,Amukta,,
Amukta,360536,250000,1951,1969,1977,1,Topographic,0,0,0,0,0,,AK_Amukta_360536_1951_250000_geo.tif,AK_Amukta_360536_1951_250000_geo,Amukta,,
Amukta,360538,250000,1951,1983,1984,1,Topographic,0,1,0,0,0,,AK_Amukta_360538_1951_250000_geo.tif,AK_Amukta_360538_1951_250000_geo,Amukta,,
Anchorage,361711,250000,1951,,1951,1,Topographic,1,0,0,0,0,,AK_Anchorage_361711_1951_250000_geo.tif,AK_Anchorage_361711_1951_250000_geo,Anchorage,,1) Print date assumed (stamped: Oct 4 1951)
Anchorage,463474,250000,1951,,1951,1,Topographic,0,0,0,0,0,sepia,AK_Anchorage_463474_1951_250000_geo.tif,AK_Anchorage_463474_1951_250000_geo,Anchorage,,1) Print date assumed (stamped: Sep 24 1951)
Anchorage,361712,250000,1951,1956,1956,1,Topographic,0,0,0,0,0,sepia,AK_Anchorage_361712_1951_250000_geo.tif,AK_Anchorage_361712_1951_250000_geo,Anchorage,,
Anchorage,463473,250000,1951,1956,1956,1,Topographic,1,0,1,0,0,,AK_Anchorage_463473_1951_250000_geo.tif,AK_Anchorage_463473_1951_250000_geo,Anchorage,,
Anchorage,361715,250000,1962,,1966,0,Topographic,0,0,0,0,0,bright green,AK_Anchorage_361715_1962_250000_geo.tif,AK_Anchorage_361715_1962_250000_geo,Anchorage,,
Anchorage,361716,250000,1962,,1969,0,Topographic,0,0,0,0,0,,AK_Anchorage_361716_1962_250000_geo.tif,AK_Anchorage_361716_1962_250000_geo,Anchorage,,
Anchorage,361719,250000,1962,1979,1980,0,Topographic,0,0,0,0,0,,AK_Anchorage_361719_1979_250000_geo.tif,AK_Anchorage_361719_1979_250000_geo,Anchorage,,1) Date in filename is wrong
Anchorage,361723,250000,1962,1985,1985,0,Bathymetric,0,0,0,0,0,,AK_Anchorage_361723_1962_250000_geo.tif,AK_Anchorage_361723_1962_250000_geo,Anchorage,,
Anchorage,361722,250000,1962,1985,1986,0,Bathymetric,0,1,0,0,1,,AK_Anchorage_361722_1962_250000_geo.tif,AK_Anchorage_361722_1962_250000_geo,Anchorage,2,
Anchorage,361724,250000,1962,1985,1986,0,Bathymetric,0,0,0,0,0,,AK_Anchorage_361724_1962_250000_geo.tif,AK_Anchorage_361724_1962_250000_geo,Anchorage,,1) Missing some marginalia
Anchorage,707708,250000,1962,1985,1986,0,Bathymetric,0,0,0,0,0,,AK_Anchorage_707708_1962_250000_geo.tif,AK_Anchorage_707708_1962_250000_geo,Anchorage,2,
Arctic,463494,250000,1951,,1952,1,Topographic,0,0,0,0,0,sepia,AK_Arctic_463494_1951_250000_geo.tif,AK_Arctic_463494_1951_250000_geo,Arctic,,
Arctic,360543,250000,1956,,1959,0,Topographic,0,0,0,0,0,sepia,AK_Arctic_360543_1956_250000_geo.tif,AK_Arctic_360543_1956_250000_geo,Arctic,,
Arctic,360544,250000,1956,,1959,0,Topographic,1,0,0,0,0,,AK_Arctic_360544_1956_250000_geo.tif,AK_Arctic_360544_1956_250000_geo,Arctic,,
Arctic,360545,250000,1956,1966,1967,0,Topographic,1,0,1,0,0,,AK_Arctic_360545_1956_250000_geo.tif,AK_Arctic_360545_1956_250000_geo,Arctic,,
Arctic,360546,250000,1956,1966,1967,0,Topographic,0,0,0,0,0,bright green,AK_Arctic_360546_1956_250000_geo.tif,AK_Arctic_360546_1956_250000_geo,Arctic,,
Arctic,360547,250000,1956,1966,1975,0,Topographic,0,0,0,0,0,,AK_Arctic_360547_1956_250000_geo.tif,AK_Arctic_360547_1956_250000_geo,Arctic,,
Arctic,360541,250000,1956,1983,1983,0,Topographic,0,0,0,0,0,,AK_Arctic_360541_1956_250000_geo.tif,AK_Arctic_360541_1956_250000_geo,Arctic,,1) Print date is assumed
Arctic,360549,250000,1956,1983,1983,0,Topographic,0,1,0,0,0,,AK_Arctic_360549_1956_250000_geo.tif,AK_Arctic_360549_1956_250000_geo,Arctic,,
Arctic,360540,250000,1956,1983,1988,0,Topographic,0,0,0,0,0,,AK_Arctic_360540_1956_250000_geo.tif,AK_Arctic_360540_1956_250000_geo,Arctic,,
Atka,360551,250000,1952,,1952,1,Topographic,0,0,0,0,0,sepia,AK_Atka_360551_1952_250000_geo.tif,AK_Atka_360551_1952_250000_geo,Atka,,
Atka,360552,250000,1959,,1971,0,Topographic,0,0,0,0,0,,AK_Atka_360552_1959_250000_geo.tif,AK_Atka_360552_1959_250000_geo,Atka,,
Atka,360554,250000,1959,1983,1984,0,Topographic,0,1,0,0,0,,AK_Atka_360554_1959_250000_geo.tif,AK_Atka_360554_1959_250000_geo,Atka,,
Atlin,360556,250000,1951,,1952,1,Topographic,0,0,0,0,0,sepia,AK_Atlin_360556_1951_250000_geo.tif,AK_Atlin_360556_1951_250000_geo,Atlin,,
Atlin,360555,250000,1949,,1958,1,Topographic,0,0,0,0,0,sepia,AK_Atlin_360555_1949_250000_geo.tif,AK_Atlin_360555_1949_250000_geo,Atlin,,
Atlin,360558,250000,1960,,1966,0,Topographic,0,0,0,0,0,,AK_Atlin_360558_1960_250000_geo.tif,AK_Atlin_360558_1960_250000_geo,Atlin,,
Atlin,360559,250000,1960,,1971,0,Topographic,0,1,0,0,0,,AK_Atlin_360559_1960_250000_geo.tif,AK_Atlin_360559_1960_250000_geo,Atlin,,
Attu,360560,250000,1952,,1952,1,Topographic,1,0,0,0,0,,AK_Attu_360560_1952_250000_geo.tif,AK_Attu_360560_1952_250000_geo,Attu,,
Attu,360561,250000,1952,,1952,1,Topographic,0,0,0,0,0,,AK_Attu_360561_1952_250000_geo.tif,AK_Attu_360561_1952_250000_geo,Attu,,
Attu,707717,250000,1952,,1958,0,Q501-1 - Army COE,0,0,0,1,0,,AK_Attu_707717_1952_250000_geo.tif,AK_Attu_707717_1952_250000_geo,Attu,,
Attu,360562,250000,1953,,1959,0,Topographic,0,0,0,0,0,,AK_Attu_360562_1953_250000_geo.tif,AK_Attu_360562_1953_250000_geo,Attu,,
Attu,360563,250000,1953,,1959,0,Topographic,1,0,0,0,0,,AK_Attu_360563_1953_250000_geo.tif,AK_Attu_360563_1953_250000_geo,Attu,,
Attu,360566,250000,1953,1970,1971,0,Topographic,0,0,0,0,0,,AK_Attu_360566_1953_250000_geo.tif,AK_Attu_360566_1953_250000_geo,Attu,,
Attu,360565,250000,1953,1970,1973,0,Topographic,1,0,1,0,0,,AK_Attu_360565_1953_250000_geo.tif,AK_Attu_360565_1953_250000_geo,Attu,,
Attu,360567,250000,1953,1970,1973,0,Topographic,0,0,0,0,0,,AK_Attu_360567_1953_250000_geo.tif,AK_Attu_360567_1953_250000_geo,Attu,,
Attu,360569,250000,1953,1983,1984,0,Topographic,0,1,0,0,0,,AK_Attu_360569_1953_250000_geo.tif,AK_Attu_360569_1953_250000_geo,Attu,,
Baird Inlet,360570,250000,1951,,1953,1,Topographic,0,0,0,0,0,sepia,AK_Baird Inlet_360570_1951_250000_geo.tif,AK_Baird Inlet_360570_1951_250000_geo,Baird Inlet,,
Baird Inlet,360571,250000,1954,,1967,0,Topographic,0,0,0,0,0,,AK_Baird Inlet_360571_1954_250000_geo.tif,AK_Baird Inlet_360571_1954_250000_geo,Baird Inlet,,
Baird Inlet,360572,250000,1954,1977,1978,0,Topographic,0,0,0,0,0,,AK_Baird Inlet_360572_1954_250000_geo.tif,AK_Baird Inlet_360572_1954_250000_geo,Baird Inlet,,
Baird Inlet,360573,250000,1954,1983,1983,0,Topographic,0,1,0,0,0,,AK_Baird Inlet_360573_1954_250000_geo.tif,AK_Baird Inlet_360573_1954_250000_geo,Baird Inlet,,
Baird Mountains,360576,250000,1951,,1951,1,Topographic,0,0,0,0,0,sepia,AK_Baird Mountains_360576_1951_250000_geo.tif,AK_Baird Mountains_360576_1951_250000_geo,Baird Mountains,,1) Print date assumed (hand labelled: Aug 2 1951)
Baird Mountains,360577,250000,1951,,1951,1,Topographic,1,0,0,0,0,,AK_Baird Mountains_360577_1951_250000_geo.tif,AK_Baird Mountains_360577_1951_250000_geo,Baird Mountains,,1) Print date assumed (hand labelled: Aug 2 1951)
Baird Mountains,360578,250000,1951,,1954,1,Topographic,0,0,0,0,0,sepia,AK_Baird Mountains_360578_1951_250000_geo.tif,AK_Baird Mountains_360578_1951_250000_geo,Baird Mountains,,
Baird Mountains,360580,250000,1956,,1965,0,Topographic,0,0,0,0,0,bright green,AK_Baird Mountains_360580_1956_250000_geo.tif,AK_Baird Mountains_360580_1956_250000_geo,Baird Mountains,,
Baird Mountains,463536,250000,1956,,1965,0,Topographic,0,0,0,0,0,sepia,AK_Baird Mountains_463536_1956_250000_geo.tif,AK_Baird Mountains_463536_1956_250000_geo,Baird Mountains,,"1) Poor quality, faded"
Baird Mountains,463537,250000,1965,,1965,0,Q501-2 - Army COE,0,0,0,1,0,sepia,AK_Baird Mountains_463537_1965_250000_geo.tif,AK_Baird Mountains_463537_1965_250000_geo,Baird Mountains,,
Baird Mountains,360579,250000,1956,,1966,0,Topographic,0,0,0,0,0,bright green,AK_Baird Mountains_360579_1956_250000_geo.tif,AK_Baird Mountains_360579_1956_250000_geo,Baird Mountains,,
Baird Mountains,463535,250000,1956,,1966,0,Topographic,1,0,1,0,0,,AK_Baird Mountains_463535_1956_250000_geo.tif,AK_Baird Mountains_463535_1956_250000_geo,Baird Mountains,,
Baird Mountains,360582,250000,1956,1982,1982,0,Topographic,0,0,0,0,0,,AK_Baird Mountains_360582_1956_250000_geo.tif,AK_Baird Mountains_360582_1956_250000_geo,Baird Mountains,,
Baird Mountains,360574,250000,1956,1982,1988,0,Topographic,0,0,0,0,0,,AK_Baird Mountains_360574_1956_250000_geo.tif,AK_Baird Mountains_360574_1956_250000_geo,Baird Mountains,2,
Baird Mountains,360575,250000,1956,1982,1988,0,Topographic,0,1,0,0,0,,AK_Baird Mountains_360575_1956_250000_geo.tif,AK_Baird Mountains_360575_1956_250000_geo,Baird Mountains,2,
Barrow,360584,250000,1949,,1949,1,Topographic,0,0,0,0,0,sepia,AK_Barrow_360584_1949_250000_geo.tif,AK_Barrow_360584_1949_250000_geo,Barrow,,"1) No print date, Stamped: ""Aug 22 1949""; "
Barrow,360585,250000,1949,,1949,1,Topographic,0,0,0,0,0,,AK_Barrow_360585_1949_250000_geo.tif,AK_Barrow_360585_1949_250000_geo,Barrow,,"1) No print date, Stamped: ""Aug 22 1949""; 2) Additional colors on land "
Barrow,463538,250000,1945,,1954,1,Topographic,0,0,0,0,0,sepia,AK_Barrow_463538_1945_250000_geo.tif,AK_Barrow_463538_1945_250000_geo,Barrow,,
Barrow,360586,250000,1955,,1960,0,Topographic,1,0,0,0,0,,AK_Barrow_360586_1955_250000_geo.tif,AK_Barrow_360586_1955_250000_geo,Barrow,,
Barrow,360587,250000,1955,,1960,0,Topographic,0,0,0,0,0,sepia,AK_Barrow_360587_1955_250000_geo.tif,AK_Barrow_360587_1955_250000_geo,Barrow,,
Barrow,360588,250000,1955,1969,1970,0,Topographic,0,0,0,0,0,,AK_Barrow_360588_1955_250000_geo.tif,AK_Barrow_360588_1955_250000_geo,Barrow,,
Barrow,360589,250000,1955,1975,1976,0,Topographic,1,0,0,0,0,,AK_Barrow_360589_1955_250000_geo.tif,AK_Barrow_360589_1955_250000_geo,Barrow,,
Barrow,360590,250000,1955,1977,1978,0,Topographic,0,0,0,0,0,,AK_Barrow_360590_1955_250000_geo.tif,AK_Barrow_360590_1955_250000_geo,Barrow,,
Barrow,360592,250000,1955,1981,1981,0,Topographic,1,0,1,0,0,,AK_Barrow_360592_1955_250000_geo.tif,AK_Barrow_360592_1955_250000_geo,Barrow,,
Barrow,360593,250000,1955,1981,1981,0,Topographic,0,0,0,0,0,,AK_Barrow_360593_1955_250000_geo.tif,AK_Barrow_360593_1955_250000_geo,Barrow,,
Barrow,360591,250000,1955,1981,1984,0,Topographic,0,1,0,0,0,,AK_Barrow_360591_1955_250000_geo.tif,AK_Barrow_360591_1955_250000_geo,Barrow,,
Barter Island,463543,250000,1951,,1951,1,Topographic,0,0,0,0,0,sepia,AK_Barter Island_463543_1951_250000_geo.tif,AK_Barter Island_463543_1951_250000_geo,Barter Island,,1) Print date assumed (stamped: Jul 26 1951)
Barter Island,360598,250000,1959,,1961,0,Topographic,1,0,0,0,0,,AK_Barter Island_360598_1959_250000_geo.tif,AK_Barter Island_360598_1959_250000_geo,Barter Island,,
Barter Island,360599,250000,1959,,1961,0,Topographic,0,0,0,0,0,,AK_Barter Island_360599_1959_250000_geo.tif,AK_Barter Island_360599_1959_250000_geo,Barter Island,,
Barter Island,463542,250000,1964,,1964,0,Q501-2 - Army COE,0,0,0,1,0,,AK_Barter Island_463542_1964_250000_geo.tif,AK_Barter Island_463542_1964_250000_geo,Barter Island,,
Barter Island,360597,250000,1959,,1965,0,Topographic,0,0,0,0,0,,AK_Barter Island_360597_1959_250000_geo.tif,AK_Barter Island_360597_1959_250000_geo,Barter Island,,
Barter Island,360600,250000,1959,,1965,0,Topographic,1,0,1,0,0,,AK_Barter Island_360600_1959_250000_geo.tif,AK_Barter Island_360600_1959_250000_geo,Barter Island,,
Barter Island,360601,250000,1959,,1974,0,Topographic,0,0,0,0,0,,AK_Barter Island_360601_1959_250000_geo.tif,AK_Barter Island_360601_1959_250000_geo,Barter Island,,
Barter Island,360605,250000,1959,1983,1983,0,Topographic,0,1,0,0,0,,AK_Barter Island_360605_1959_250000_geo.tif,AK_Barter Island_360605_1959_250000_geo,Barter Island,,
Barter Island,360607,250000,1959,1983,1983,0,Topographic,0,0,0,0,0,,AK_Barter Island_360607_1959_250000_geo.tif,AK_Barter Island_360607_1959_250000_geo,Barter Island,,1) Print date is assumed
Beaver,463545,250000,1951,,1952,1,Topographic,0,0,0,0,0,,AK_Beaver_463545_1951_250000_geo.tif,AK_Beaver_463545_1951_250000_geo,Beaver,,
Beaver,360610,250000,1956,,1959,0,Topographic,1,0,0,0,0,,AK_Beaver_360610_1956_250000_geo.tif,AK_Beaver_360610_1956_250000_geo,Beaver,,
Beaver,360611,250000,1956,,1959,0,Topographic,0,0,0,0,0,bright green,AK_Beaver_360611_1956_250000_geo.tif,AK_Beaver_360611_1956_250000_geo,Beaver,,
Beaver,360609,250000,1956,,1962,0,Topographic,0,0,0,0,0,bright green,AK_Beaver_360609_1956_250000_geo.tif,AK_Beaver_360609_1956_250000_geo,Beaver,,
Beaver,360612,250000,1956,,1962,0,Topographic,1,0,1,0,0,,AK_Beaver_360612_1956_250000_geo.tif,AK_Beaver_360612_1956_250000_geo,Beaver,,
Beaver,463544,250000,1964,,1964,0,Q501-2 - Army COE,0,0,0,1,0,,AK_Beaver_463544_1964_250000_geo.tif,AK_Beaver_463544_1964_250000_geo,Beaver,,
Beaver,360613,250000,1956,1972,1973,0,Topographic,0,0,0,0,0,bright green,AK_Beaver_360613_1956_250000_geo.tif,AK_Beaver_360613_1956_250000_geo,Beaver,,
Beaver,360614,250000,1956,1980,1981,0,Topographic,0,0,0,0,0,bright green,AK_Beaver_360614_1956_250000_geo.tif,AK_Beaver_360614_1956_250000_geo,Beaver,,
Beaver,360616,250000,1956,1984,1984,0,Topographic,0,1,0,0,0,,AK_Beaver_360616_1956_250000_geo.tif,AK_Beaver_360616_1956_250000_geo,Beaver,,
Beechey Point,463547,250000,1951,,1951,1,Topographic,0,0,0,0,0,sepia,AK_Beechey Point_463547_1951_250000_geo.tif,AK_Beechey Point_463547_1951_250000_geo,Beechey Point,,1) Print date assumed (stamped: Nov 8 1951)
Beechey Point,360618,250000,1955,,1961,0,Topographic,1,0,0,0,0,,AK_Beechey Point_360618_1955_250000_geo.tif,AK_Beechey Point_360618_1955_250000_geo,Beechey Point,,
Beechey Point,463546,250000,1955,,1961,0,Topographic,0,0,0,0,0,,AK_Beechey Point_463546_1955_250000_geo.tif,AK_Beechey Point_463546_1955_250000_geo,Beechey Point,,
Beechey Point,463548,250000,1964,,1964,0,Q501-2 - Army COE,0,0,0,1,0,,AK_Beechey Point_463548_1964_250000_geo.tif,AK_Beechey Point_463548_1964_250000_geo,Beechey Point,,
Beechey Point,360617,250000,1955,,1965,0,Topographic,1,0,0,0,0,,AK_Beechey Point_360617_1955_250000_geo.tif,AK_Beechey Point_360617_1955_250000_geo,Beechey Point,,
Beechey Point,360619,250000,1955,1968,1968,0,Topographic,0,0,0,0,0,,AK_Beechey Point_360619_1955_250000_geo.tif,AK_Beechey Point_360619_1955_250000_geo,Beechey Point,,
Beechey Point,360620,250000,1955,1969,1970,0,Topographic,0,0,0,0,0,,AK_Beechey Point_360620_1955_250000_geo.tif,AK_Beechey Point_360620_1955_250000_geo,Beechey Point,,
Beechey Point,360622,250000,1960,1976,1977,0,Topographic,0,0,0,0,0,,AK_Beechey Point_360622_1960_250000_geo.tif,AK_Beechey Point_360622_1960_250000_geo,Beechey Point,,
Beechey Point,360621,250000,1960,1976,1978,0,Topographic,1,0,1,0,0,,AK_Beechey Point_360621_1960_250000_geo.tif,AK_Beechey Point_360621_1960_250000_geo,Beechey Point,,
Beechey Point,360624,250000,1960,1984,1984,0,Topographic,0,1,0,0,0,,AK_Beechey Point_360624_1960_250000_geo.tif,AK_Beechey Point_360624_1960_250000_geo,Beechey Point,,
Bendeleben,360627,250000,1951,,1951,1,Topographic,0,0,0,0,0,sepia,AK_Bendeleben_360627_1951_250000_geo.tif,AK_Bendeleben_360627_1951_250000_geo,Bendeleben,,1) Print date assumed
Bendeleben,360628,250000,1951,,1951,1,Topographic,1,0,0,0,0,,AK_Bendeleben_360628_1951_250000_geo.tif,AK_Bendeleben_360628_1951_250000_geo,Bendeleben,,1) Print date assumed
Bendeleben,360626,250000,1950,,1956,0,Topographic,0,0,0,0,0,sepia,AK_Bendeleben_360626_1950_250000_geo.tif,AK_Bendeleben_360626_1950_250000_geo,Bendeleben,,
Bendeleben,707930,250000,1950,,1956,0,Topographic,1,0,0,0,0,,AK_Bendeleben_707930_1950_250000_geo.tif,AK_Bendeleben_707930_1950_250000_geo,Bendeleben,,
Bendeleben,463560,250000,1964,,1964,0,Q501-2 - Army COE,0,0,0,1,0,,AK_Bendeleben_463560_1964_250000_geo.tif,AK_Bendeleben_463560_1964_250000_geo,Bendeleben,,
Bendeleben,360629,250000,1950,1966,1967,0,Topographic,0,0,0,0,0,,AK_Bendeleben_360629_1950_250000_geo.tif,AK_Bendeleben_360629_1950_250000_geo,Bendeleben,,
Bendeleben,360630,250000,1950,1966,1967,0,Topographic,1,0,1,0,0,,AK_Bendeleben_360630_1950_250000_geo.tif,AK_Bendeleben_360630_1950_250000_geo,Bendeleben,,
Bendeleben,360631,250000,1950,1973,1975,0,Topographic,0,0,0,0,0,,AK_Bendeleben_360631_1950_250000_geo.tif,AK_Bendeleben_360631_1950_250000_geo,Bendeleben,,
Bendeleben,360632,250000,1950,1982,1982,0,Topographic,0,1,0,0,0,,AK_Bendeleben_360632_1950_250000_geo.tif,AK_Bendeleben_360632_1950_250000_geo,Bendeleben,,
Bering Glacier,360634,250000,1951,,1951,1,Topographic,0,0,0,0,0,sepia,AK_Bering Glacier_360634_1951_250000_geo.tif,AK_Bering Glacier_360634_1951_250000_geo,Bering Glacier,,1) Print date assumed
Bering Glacier,360633,250000,1950,,1958,1,Topographic,0,0,0,0,0,sepia,AK_Bering Glacier_360633_1950_250000_geo.tif,AK_Bering Glacier_360633_1950_250000_geo,Bering Glacier,,
Bering Glacier,360636,250000,1959,,1966,0,Topographic,0,0,0,0,0,,AK_Bering Glacier_360636_1959_250000_geo.tif,AK_Bering Glacier_360636_1959_250000_geo,Bering Glacier,,
Bering Glacier,360635,250000,1959,,1970,0,Topographic,0,0,0,0,0,,AK_Bering Glacier_360635_1959_250000_geo.tif,AK_Bering Glacier_360635_1959_250000_geo,Bering Glacier,,
Bering Glacier,360637,250000,1959,,1977,0,Topographic,0,0,0,0,0,,AK_Bering Glacier_360637_1959_250000_geo.tif,AK_Bering Glacier_360637_1959_250000_geo,Bering Glacier,,
Bering Glacier,360638,250000,1959,1983,1983,0,Topographic,0,1,0,0,0,,AK_Bering Glacier_360638_1959_250000_geo.tif,AK_Bering Glacier_360638_1959_250000_geo,Bering Glacier,,
Bethel,360641,250000,1950,,1950,1,Topographic,0,0,0,0,0,sepia,AK_Bethel_360641_1950_250000_geo.tif,AK_Bethel_360641_1950_250000_geo,Bethel,,"1) Print date is assumed; 2) Poor quality, faded"
Bethel,360642,250000,1950,,1950,1,Topographic,0,0,0,0,0,,AK_Bethel_360642_1950_250000_geo.tif,AK_Bethel_360642_1950_250000_geo,Bethel,,1) Print date is assumed
Bethel,360643,250000,1950,1972,1976,1,Topographic,0,0,0,0,0,,AK_Bethel_360643_1950_250000_geo.tif,AK_Bethel_360643_1950_250000_geo,Bethel,,
Bethel,360644,250000,1980,,1980,0,Topographic,0,0,0,0,0,,AK_Bethel_360644_1980_250000_geo.tif,AK_Bethel_360644_1980_250000_geo,Bethel,,
Bethel,360639,250000,1980,1987,1987,0,Topographic,0,0,0,0,0,,AK_Bethel_360639_1980_250000_geo.tif,AK_Bethel_360639_1980_250000_geo,Bethel,3,
Bethel,360640,250000,1980,1987,1987,0,Topographic,0,1,0,0,0,,AK_Bethel_360640_1980_250000_geo.tif,AK_Bethel_360640_1980_250000_geo,Bethel,3,
Bethel,360646,250000,1980,1987,1987,0,Topographic,0,0,0,0,0,,AK_Bethel_360646_1980_250000_geo.tif,AK_Bethel_360646_1980_250000_geo,Bethel,3,
Bettles,463566,250000,1951,,1952,1,Topographic,0,0,0,0,0,,AK_Bettles_463566_1951_250000_geo.tif,AK_Bettles_463566_1951_250000_geo,Bettles,,
Bettles,360649,250000,1956,,1958,0,Topographic,1,0,0,0,0,,AK_Bettles_360649_1956_250000_geo.tif,AK_Bettles_360649_1956_250000_geo,Bettles,,
Bettles,360650,250000,1956,,1958,0,Topographic,0,0,0,0,0,bright green,AK_Bettles_360650_1956_250000_geo.tif,AK_Bettles_360650_1956_250000_geo,Bettles,,
Bettles,360648,250000,1956,,1965,0,Topographic,1,0,0,0,0,,AK_Bettles_360648_1956_250000_geo.tif,AK_Bettles_360648_1956_250000_geo,Bettles,,
Bettles,360651,250000,1956,1969,1970,0,Topographic,0,0,0,0,0,,AK_Bettles_360651_1956_250000_geo.tif,AK_Bettles_360651_1956_250000_geo,Bettles,,
